gRNA_length,PAM,gc_content,cleavage_efficiency,off_target_probability,immunogenicity,binding_affinity,tcell_recognition,exposure_score,fitness_score
21,NGG,0.6,0.84,0.28,0.27,0.77,0.65,0.55,-0.36
17,CGG,0.61,0.86,0.15,0.47,0.89,0.78,0.75,-0.54
17,CGG,0.44,0.84,0.3,0.24,0.8,0.64,0.62,-0.34
22,CGG,0.71,0.9,0.06,0.33,0.52,0.62,0.66,-0.11
20,NGG,0.77,0.85,0.04,0.39,0.47,0.64,0.52,-0.22
17,CGG,0.75,0.72,0.25,0.59,0.63,0.51,0.78,-0.63
18,CGG,0.41,0.82,0.14,0.2,0.7,0.51,0.5,-0.03
17,NGG,0.5,0.74,0.15,0.21,0.48,0.79,0.52,-0.41
20,TGG,0.78,0.95,0.17,0.37,0.84,0.55,0.65,-0.14
23,NAG,0.66,0.9,0.02,0.47,0.88,0.59,0.57,-0.18
18,NGG,0.6,0.76,0.03,0.45,0.87,0.61,0.54,-0.33
21,NAG,0.74,0.95,0.09,0.47,0.64,0.64,0.68,-0.25
19,NAG,0.51,0.84,0.09,0.32,0.4,0.73,0.65,-0.3
17,TGG,0.68,0.72,0.02,0.45,0.81,0.65,0.6,-0.4
18,TGG,0.71,0.91,0.06,0.35,0.43,0.6,0.59,-0.1
20,TGG,0.65,0.78,0.05,0.6,0.53,0.52,0.68,-0.39
19,CGG,0.74,0.76,0.2,0.48,0.67,0.6,0.54,-0.52
19,NGG,0.73,0.9,0.13,0.46,0.64,0.78,0.56,-0.47
20,NGG,0.76,0.83,0.26,0.31,0.67,0.66,0.63,-0.4
22,CGG,0.5,0.76,0.17,0.43,0.68,0.68,0.58,-0.52
18,NAG,0.73,0.89,0.11,0.28,0.76,0.63,0.57,-0.13
18,NGG,0.74,0.8,0.05,0.2,0.78,0.73,0.78,-0.18
23,NGG,0.53,0.81,0.26,0.25,0.54,0.74,0.64,-0.44
22,NGG,0.49,0.78,0.26,0.55,0.64,0.66,0.78,-0.69
22,TGG,0.61,0.85,0.28,0.24,0.84,0.78,0.56,-0.45
18,NGG,0.5,0.94,0.2,0.57,0.51,0.54,0.65,-0.37
19,NAG,0.73,0.95,0.28,0.43,0.53,0.7,0.65,-0.46
18,TGG,0.77,0.88,0.18,0.36,0.75,0.74,0.77,-0.4
17,TGG,0.41,0.83,0.1,0.36,0.73,0.8,0.74,-0.43
21,NGG,0.52,0.89,0.25,0.32,0.55,0.68,0.78,-0.36
20,NAG,0.78,0.84,0.06,0.42,0.49,0.6,0.78,-0.24
22,NAG,0.41,0.74,0.25,0.4,0.9,0.64,0.5,-0.55
24,NAG,0.58,0.81,0.29,0.55,0.45,0.54,0.77,-0.57
17,CGG,0.73,0.79,0.2,0.41,0.79,0.77,0.61,-0.59
22,TGG,0.78,0.92,0.01,0.24,0.64,0.64,0.65,0.03
19,CGG,0.43,0.8,0.08,0.54,0.59,0.74,0.65,-0.56
20,NAG,0.41,0.92,0.12,0.36,0.81,0.59,0.56,-0.15
23,TGG,0.64,0.76,0.16,0.37,0.57,0.67,0.61,-0.44
20,NAG,0.64,0.87,0.08,0.57,0.6,0.52,0.75,-0.3
23,TGG,0.54,0.72,0.03,0.38,0.85,0.55,0.75,-0.24
22,NAG,0.59,0.93,0.09,0.36,0.53,0.62,0.53,-0.14
18,CGG,0.66,0.81,0.06,0.45,0.72,0.61,0.57,-0.31
19,NGG,0.72,0.79,0.23,0.33,0.62,0.78,0.62,-0.55
17,CGG,0.52,0.87,0.16,0.51,0.75,0.65,0.72,-0.45
17,NAG,0.63,0.77,0.01,0.55,0.82,0.67,0.62,-0.46
18,NGG,0.56,0.93,0.15,0.56,0.51,0.73,0.55,-0.51
19,TGG,0.54,0.71,0.19,0.21,0.51,0.63,0.62,-0.32
23,TGG,0.65,0.72,0.14,0.52,0.44,0.8,0.74,-0.74
17,TGG,0.42,0.84,0.02,0.53,0.76,0.53,0.7,-0.24
19,TGG,0.78,0.71,0.29,0.23,0.89,0.65,0.77,-0.46
24,NGG,0.44,0.95,0.21,0.59,0.55,0.75,0.66,-0.6
20,CGG,0.42,0.76,0.09,0.42,0.44,0.55,0.51,-0.3
20,CGG,0.7,0.84,0.25,0.48,0.55,0.79,0.65,-0.68
18,CGG,0.61,0.75,0.27,0.24,0.77,0.53,0.74,-0.29
19,NAG,0.72,0.83,0.01,0.56,0.57,0.77,0.71,-0.51
19,TGG,0.54,0.85,0.2,0.49,0.86,0.69,0.73,-0.53
19,NGG,0.41,0.72,0.04,0.39,0.41,0.71,0.56,-0.42
18,NAG,0.76,0.8,0.19,0.39,0.48,0.58,0.55,-0.36
17,CGG,0.69,0.91,0.17,0.26,0.51,0.64,0.59,-0.16
23,CGG,0.66,0.85,0.12,0.46,0.76,0.76,0.78,-0.49
23,CGG,0.68,0.71,0.16,0.55,0.43,0.54,0.54,-0.54
24,NAG,0.63,0.86,0.17,0.48,0.63,0.79,0.7,-0.58
22,NAG,0.58,0.91,0.03,0.39,0.7,0.7,0.61,-0.21
23,CGG,0.6,0.94,0.23,0.29,0.88,0.69,0.53,-0.27
23,CGG,0.49,0.92,0.22,0.53,0.54,0.78,0.74,-0.61
18,NAG,0.41,0.86,0.16,0.42,0.6,0.71,0.63,-0.43
24,NGG,0.66,0.78,0.01,0.39,0.42,0.61,0.69,-0.23
17,NGG,0.59,0.81,0.29,0.28,0.43,0.7,0.72,-0.46
21,NGG,0.54,0.92,0.21,0.54,0.82,0.7,0.75,-0.53
20,NGG,0.7,0.91,0.13,0.51,0.63,0.76,0.54,-0.49
17,NGG,0.79,0.84,0.14,0.22,0.72,0.65,0.77,-0.17
18,NGG,0.57,0.74,0.21,0.36,0.52,0.77,0.55,-0.6
17,NGG,0.63,0.76,0.1,0.6,0.86,0.68,0.79,-0.62
21,NAG,0.76,0.84,0.26,0.57,0.84,0.71,0.63,-0.7
18,TGG,0.68,0.81,0.07,0.47,0.49,0.65,0.69,-0.38
18,TGG,0.67,0.71,0.09,0.44,0.63,0.62,0.62,-0.44
18,CGG,0.56,0.78,0.01,0.53,0.49,0.66,0.55,-0.42
20,NAG,0.51,0.8,0.26,0.39,0.87,0.62,0.65,-0.47
20,NAG,0.66,0.75,0.22,0.54,0.59,0.64,0.75,-0.65
17,CGG,0.6,0.82,0.08,0.4,0.74,0.69,0.59,-0.35
18,CGG,0.48,0.75,0.13,0.42,0.73,0.62,0.64,-0.42
17,CGG,0.78,0.85,0.14,0.43,0.52,0.64,0.76,-0.36
18,CGG,0.66,0.94,0.26,0.29,0.72,0.8,0.56,-0.41
24,NAG,0.58,0.93,0.26,0.41,0.69,0.59,0.6,-0.33
18,NGG,0.72,0.81,0.23,0.38,0.47,0.68,0.68,-0.48
19,NAG,0.44,0.87,0.11,0.52,0.6,0.54,0.55,-0.3
23,CGG,0.69,0.88,0.05,0.28,0.46,0.53,0.53,0.02
22,NGG,0.47,0.73,0.27,0.52,0.49,0.61,0.77,-0.67
19,CGG,0.4,0.87,0.08,0.23,0.48,0.65,0.74,-0.09
19,TGG,0.48,0.82,0.18,0.52,0.73,0.71,0.61,-0.59
21,CGG,0.7,0.86,0.26,0.48,0.55,0.59,0.76,-0.47
21,CGG,0.62,0.81,0.14,0.43,0.74,0.78,0.58,-0.54
22,NGG,0.67,0.9,0.22,0.57,0.5,0.61,0.73,-0.5
19,NAG,0.48,0.82,0.05,0.34,0.57,0.63,0.59,-0.2
17,NGG,0.78,0.79,0.17,0.23,0.9,0.67,0.69,-0.28
21,NAG,0.76,0.87,0.04,0.39,0.85,0.67,0.8,-0.23
17,NGG,0.52,0.85,0.13,0.5,0.46,0.55,0.61,-0.33
24,NGG,0.51,0.88,0.15,0.44,0.46,0.78,0.61,-0.49
24,NGG,0.46,0.7,0.0,0.38,0.47,0.59,0.74,-0.27
20,NGG,0.76,0.85,0.29,0.4,0.46,0.6,0.68,-0.44
24,NGG,0.68,0.9,0.28,0.47,0.87,0.64,0.8,-0.49
23,NGG,0.64,0.73,0.25,0.27,0.74,0.74,0.51,-0.53
17,TGG,0.8,0.86,0.05,0.44,0.61,0.78,0.7,-0.41
19,TGG,0.71,0.75,0.15,0.45,0.5,0.6,0.57,-0.45
18,NGG,0.43,0.77,0.28,0.32,0.89,0.56,0.66,-0.39
17,NAG,0.68,0.78,0.07,0.36,0.81,0.5,0.64,-0.15
22,NAG,0.77,0.89,0.11,0.47,0.56,0.68,0.56,-0.37
21,NAG,0.74,0.74,0.12,0.58,0.86,0.53,0.51,-0.49
17,CGG,0.73,0.88,0.08,0.5,0.67,0.59,0.5,-0.29
19,TGG,0.78,0.81,0.21,0.54,0.89,0.65,0.64,-0.59
23,TGG,0.7,0.94,0.02,0.32,0.9,0.66,0.64,-0.06
21,CGG,0.6,0.91,0.1,0.6,0.9,0.54,0.65,-0.33
22,CGG,0.5,0.81,0.08,0.55,0.44,0.57,0.53,-0.39
24,TGG,0.62,0.84,0.21,0.3,0.77,0.5,0.75,-0.17
19,CGG,0.45,0.79,0.16,0.21,0.44,0.58,0.63,-0.16
22,NAG,0.76,0.74,0.06,0.48,0.52,0.58,0.62,-0.38
20,NGG,0.67,0.75,0.17,0.34,0.44,0.59,0.61,-0.35
21,NAG,0.58,0.89,0.22,0.29,0.89,0.52,0.72,-0.14
18,CGG,0.62,0.8,0.22,0.4,0.8,0.76,0.71,-0.58
21,TGG,0.46,0.76,0.17,0.32,0.86,0.61,0.65,-0.34
24,NAG,0.56,0.77,0.27,0.23,0.66,0.51,0.74,-0.24
20,TGG,0.41,0.92,0.14,0.51,0.52,0.54,0.62,-0.27
23,TGG,0.72,0.92,0.29,0.45,0.73,0.73,0.75,-0.55
23,NGG,0.44,0.71,0.21,0.29,0.75,0.74,0.57,-0.53
19,TGG,0.47,0.9,0.12,0.22,0.53,0.64,0.65,-0.08
17,NAG,0.53,0.72,0.14,0.47,0.54,0.54,0.6,-0.43
23,CGG,0.61,0.72,0.06,0.48,0.46,0.53,0.67,-0.35
17,NAG,0.6,0.93,0.13,0.36,0.79,0.76,0.74,-0.32
17,TGG,0.62,0.79,0.12,0.27,0.65,0.78,0.72,-0.38
23,CGG,0.73,0.87,0.2,0.43,0.85,0.55,0.79,-0.31
24,NAG,0.74,0.76,0.02,0.34,0.82,0.56,0.6,-0.16
22,CGG,0.61,0.71,0.08,0.58,0.58,0.61,0.72,-0.56
21,NAG,0.47,0.89,0.23,0.37,0.51,0.76,0.75,-0.47
24,NGG,0.42,0.82,0.21,0.33,0.53,0.75,0.63,-0.47
20,NGG,0.7,0.73,0.18,0.3,0.6,0.59,0.79,-0.34
23,CGG,0.43,0.75,0.2,0.53,0.89,0.62,0.62,-0.6
18,CGG,0.61,0.71,0.17,0.32,0.74,0.7,0.74,-0.48
18,NGG,0.43,0.83,0.2,0.41,0.69,0.58,0.58,-0.36
24,NAG,0.47,0.76,0.22,0.43,0.82,0.51,0.51,-0.4
24,TGG,0.62,0.81,0.23,0.23,0.79,0.69,0.66,-0.34
22,NAG,0.6,0.86,0.16,0.36,0.84,0.63,0.65,-0.29
23,NAG,0.58,0.93,0.01,0.54,0.63,0.72,0.76,-0.34
19,TGG,0.6,0.84,0.04,0.46,0.8,0.58,0.61,-0.24
19,CGG,0.53,0.74,0.0,0.36,0.47,0.63,0.65,-0.25
21,NGG,0.56,0.92,0.25,0.31,0.87,0.73,0.74,-0.37
21,NAG,0.46,0.91,0.24,0.55,0.74,0.55,0.7,-0.43
23,NAG,0.49,0.79,0.17,0.29,0.5,0.55,0.64,-0.22
24,NAG,0.48,0.84,0.2,0.21,0.73,0.79,0.54,-0.36
